Órgão,Início,Término,Ciclo,Atividade,Dica,Municípios,Participação,ID,VTR,Viatura,KM
ESDEC,"2000-05-04 14:00:00","2022-05-04 17:00:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Rio de Janeiro (SEDEC)",promotor,7660,,,
DGDEC,"2000-09-29 09:00:00","2022-09-29 16:00:00","Preparação para Emergências e Desastres","Exercício Simulado","O registro é do órgão que promove a atividade e dos órgãos que participam","Rio de Janeiro",promotor,8319,,,
"REDEC 5 - SUL I","2002-12-01 09:00:00","2022-12-01 13:00:00","Preparação para Emergências e Desastres","Participação em Eventos","Participação em ações sociais","Rio de Janeiro (SEDEC)",participante,8829,Sim,"ARDC - 036",260
"REDEC 2 - BAIXADA FLUMINENSE","2019-01-07 10:00:00","2019-01-07 12:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade",Mesquita,promotor,108,Sim,"ARDC - 012",60
"REDEC 2 - BAIXADA FLUMINENSE","2019-01-08 09:00:00","2019-01-08 12:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade",Nilópolis,promotor,111,Sim,"ARDC - 012",60
"REDEC 2 - BAIXADA FLUMINENSE","2019-01-08 10:00:00","2019-01-08 16:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Guapimirim, Magé",promotor,109,Sim,"ARDC - 012",142
"REDEC 2 - BAIXADA FLUMINENSE","2019-01-12 09:00:00","2019-01-12 13:00:00","Preparação para Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Duque de Caxias",participante,83,Sim,"ARDC - 012",60
"REDEC 2 - BAIXADA FLUMINENSE","2019-01-14 08:00:00","2019-01-14 12:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Duque de Caxias",promotor,84,Sim,"ARDC - 012",60
"REDEC 2 - BAIXADA FLUMINENSE","2019-01-16 10:00:00","2019-01-16 16:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Japeri, Seropédica",promotor,110,Sim,"ARDC - 012",150
"REDEC 8 - SERRANA II","2019-02-07 10:00:00","2019-02-07 13:00:00","Prevenção de Riscos e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade",Areal,participante,132,Sim,"ARDC - 013",200
